game_pk,team,hrs
718328,Pittsburgh Pirates,1
718328,Tampa Bay Rays,2
718321,Atlanta Braves,6
718321,Miami Marlins,1
718324,New York Yankees,2
718323,Toronto Blue Jays,2
718322,Chicago White Sox,1
718322,Minnesota Twins,1
718314,Kansas City Royals,1
718320,Los Angeles Angels,3
718320,St. Louis Cardinals,2
718315,Colorado Rockies,2
718319,Seattle Mariners,2
718317,Washington Nationals,2
718318,Detroit Tigers,2
718309,Tampa Bay Rays,3
718311,Los Angeles Angels,1
718311,St. Louis Cardinals,1
718312,Baltimore Orioles,2
718312,Kansas City Royals,3
718310,Chicago White Sox,1
718310,Minnesota Twins,2
718313,Milwaukee Brewers,3
718304,Oakland Athletics,1
718304,Seattle Mariners,1
718308,Atlanta Braves,2
718308,Miami Marlins,1
718316,Boston Red Sox,2
718316,Toronto Blue Jays,1
718303,Chicago Cubs,1
718307,Toronto Blue Jays,1
718305,Chicago White Sox,2
718305,Cincinnati Reds,1
718300,New York Yankees,1
718300,Tampa Bay Rays,2
718302,New York Mets,1
718306,Minnesota Twins,1
718298,Atlanta Braves,1
718298,Baltimore Orioles,3
718299,Kansas City Royals,1
718299,Oakland Athletics,2
718292,Detroit Tigers,1
718292,St. Louis Cardinals,1
718296,Arizona Diamondbacks,1
718296,Washington Nationals,1
718295,San Diego Padres,2
718297,Houston Astros,2
718293,San Francisco Giants,2
718288,St. Louis Cardinals,2
718289,Miami Marlins,1
718290,Colorado Rockies,1
718285,Cleveland Guardians,1
718285,Minnesota Twins,2
718286,Pittsburgh Pirates,1
718281,Chicago White Sox,2
718281,Cincinnati Reds,1
718280,Kansas City Royals,2
718280,Oakland Athletics,1
718284,Philadelphia Phillies,2
718283,Atlanta Braves,2
718287,San Francisco Giants,2
718282,Arizona Diamondbacks,2
718282,Washington Nationals,2
718279,Los Angeles Dodgers,1
718275,Los Angeles Angels,1
718277,Atlanta Braves,1
718278,Toronto Blue Jays,3
718270,Boston Red Sox,1
718270,Philadelphia Phillies,1
718276,Colorado Rockies,3
718276,New York Mets,1
718271,New York Yankees,2
718271,Tampa Bay Rays,2
718268,Kansas City Royals,1
718272,Detroit Tigers,2
718272,St. Louis Cardinals,4
718269,Miami Marlins,1
718267,Milwaukee Brewers,2
718267,San Francisco Giants,1
718264,Los Angeles Angels,2
718264,Texas Rangers,3
718263,Arizona Diamondbacks,3
718263,Washington Nationals,1
718265,Seattle Mariners,1
718262,Chicago White Sox,2
718262,Cincinnati Reds,4
718266,Los Angeles Dodgers,2
718261,Cleveland Guardians,1
718261,Detroit Tigers,1
718258,Pittsburgh Pirates,1
718259,Tampa Bay Rays,2
718255,New York Yankees,4
718253,Chicago White Sox,1
718253,Kansas City Royals,1
718257,Los Angeles Dodgers,1
718257,Milwaukee Brewers,2
718254,Houston Astros,1
718254,Los Angeles Angels,1
718251,Seattle Mariners,1
718249,Arizona Diamondbacks,1
718260,San Francisco Giants,1
718252,Colorado Rockies,2
718246,Baltimore Orioles,1
718246,Tampa Bay Rays,2
718243,New York Mets,4
718244,Philadelphia Phillies,1
718244,Toronto Blue Jays,1
718247,New York Yankees,2
718247,Oakland Athletics,3
718245,Atlanta Braves,1
718245,Boston Red Sox,1
718240,Chicago Cubs,2
718240,St. Louis Cardinals,3
718242,San Diego Padres,1
718238,Chicago White Sox,2
718238,Kansas City Royals,1
718241,Los Angeles Dodgers,3
718241,Milwaukee Brewers,2
718237,Houston Astros,1
718237,Los Angeles Angels,1
718239,Seattle Mariners,1
718236,Arizona Diamondbacks,1
718236,Miami Marlins,2
718250,San Francisco Giants,1
718231,Pittsburgh Pirates,2
718232,New York Yankees,3
718232,Oakland Athletics,3
718228,Los Angeles Dodgers,3
718228,Milwaukee Brewers,1
718229,Texas Rangers,1
718226,Miami Marlins,1
718230,San Francisco Giants,2
718230,Washington Nationals,2
718233,Toronto Blue Jays,1
718235,Houston Astros,1
718235,Los Angeles Angels,2
718225,New York Mets,1
718220,Atlanta Braves,1
718220,Boston Red Sox,1
718221,Chicago Cubs,2
718224,Minnesota Twins,1
718224,San Diego Padres,1
718222,Kansas City Royals,3
718223,Cincinnati Reds,1
718216,Minnesota Twins,1
718216,San Diego Padres,2
718218,Kansas City Royals,1
718219,Tampa Bay Rays,1
718215,San Francisco Giants,1
718217,Texas Rangers,1
718208,Detroit Tigers,1
718208,Seattle Mariners,1
718212,Cincinnati Reds,3
718212,Miami Marlins,2
718213,Baltimore Orioles,1
718213,Pittsburgh Pirates,1
718210,New York Yankees,3
718210,Tampa Bay Rays,3
718206,Toronto Blue Jays,1
718205,Cleveland Guardians,1
718211,Boston Red Sox,2
718211,St. Louis Cardinals,3
718209,Chicago Cubs,1
718207,Chicago White Sox,1
718207,Houston Astros,1
718204,Kansas City Royals,1
718204,Milwaukee Brewers,1
718202,Philadelphia Phillies,2
718199,Arizona Diamondbacks,2
718199,San Francisco Giants,2
718200,Oakland Athletics,4
718200,Texas Rangers,1
718201,Los Angeles Dodgers,2
718197,New York Yankees,3
718197,Tampa Bay Rays,1
718194,Seattle Mariners,2
718198,Cincinnati Reds,1
718198,Miami Marlins,2
718195,Minnesota Twins,5
718192,Atlanta Braves,1
718203,Washington Nationals,1
718190,Texas Rangers,2
718196,St. Louis Cardinals,1
718191,Cleveland Guardians,2
718191,Los Angeles Angels,2
718193,Baltimore Orioles,2
718183,Kansas City Royals,1
718183,Milwaukee Brewers,2
718185,Los Angeles Dodgers,1
718185,San Diego Padres,2
718189,Chicago White Sox,1
718184,Arizona Diamondbacks,1
718188,Philadelphia Phillies,1
718182,Cleveland Guardians,1
718203,Washington Nationals,1
718180,New York Yankees,3
718180,Tampa Bay Rays,1
718181,Atlanta Braves,3
718181,Toronto Blue Jays,1
718175,Chicago Cubs,2
718175,Minnesota Twins,3
718176,Chicago White Sox,2
718176,Houston Astros,1
718177,Kansas City Royals,3
718177,Milwaukee Brewers,3
718174,Colorado Rockies,1
718172,Oakland Athletics,1
718172,Texas Rangers,2
718168,Los Angeles Dodgers,1
718169,San Francisco Giants,1
718187,St. Louis Cardinals,3
718167,Washington Nationals,1
718171,Baltimore Orioles,3
718171,Los Angeles Angels,2
718164,New York Yankees,3
718163,Seattle Mariners,3
718166,St. Louis Cardinals,4
718165,Atlanta Braves,5
718158,Chicago Cubs,1
718158,Houston Astros,1
718161,Colorado Rockies,3
718160,Arizona Diamondbacks,2
718160,Oakland Athletics,1
718170,Philadelphia Phillies,1
718170,San Francisco Giants,1
718159,Los Angeles Dodgers,3
718159,Minnesota Twins,2
718154,Baltimore Orioles,2
718154,Los Angeles Angels,1
718153,Miami Marlins,1
718153,Washington Nationals,1
718157,New York Yankees,2
718157,Toronto Blue Jays,1
718149,Boston Red Sox,3
718149,Seattle Mariners,1
718150,New York Mets,3
718150,Tampa Bay Rays,3
718151,Milwaukee Brewers,2
718151,St. Louis Cardinals,1
718148,Atlanta Braves,2
718148,Texas Rangers,2
718152,Chicago Cubs,2
718147,Chicago White Sox,3
718145,Cincinnati Reds,1
718145,Colorado Rockies,1
718146,Arizona Diamondbacks,2
718146,Oakland Athletics,3
718156,Philadelphia Phillies,1
718141,Minnesota Twins,1
718142,Pittsburgh Pirates,1
718138,Cincinnati Reds,1
718136,Los Angeles Dodgers,1
718136,Minnesota Twins,2
718139,Arizona Diamondbacks,2
718139,Oakland Athletics,1
718143,Philadelphia Phillies,1
718140,Kansas City Royals,1
718140,San Diego Padres,1
718137,Baltimore Orioles,1
718137,Los Angeles Angels,1
718132,Miami Marlins,1
718132,Washington Nationals,1
718134,Toronto Blue Jays,1
718133,Boston Red Sox,1
718135,New York Mets,3
718135,Tampa Bay Rays,2
718131,St. Louis Cardinals,1
718126,Atlanta Braves,3
718126,Texas Rangers,2
718127,Chicago Cubs,3
718127,Houston Astros,2
718129,Chicago White Sox,3
718128,Baltimore Orioles,2
718128,Los Angeles Angels,2
718122,New York Mets,1
718122,Tampa Bay Rays,1
718130,Miami Marlins,1
718130,Washington Nationals,1
718125,Cleveland Guardians,1
718121,New York Yankees,2
718121,Toronto Blue Jays,1
718124,Los Angeles Dodgers,2
718124,St. Louis Cardinals,7
718118,Arizona Diamondbacks,1
718118,Pittsburgh Pirates,1
718120,New York Yankees,2
718123,Detroit Tigers,4
718123,Washington Nationals,2
718116,Chicago Cubs,1
718115,Baltimore Orioles,3
718119,Cleveland Guardians,2
718119,New York Mets,3
718110,Atlanta Braves,1
718114,Texas Rangers,1
718112,Houston Astros,1
718113,Los Angeles Dodgers,1
718106,Minnesota Twins,1
718107,Boston Red Sox,2
718107,San Diego Padres,1
718105,Miami Marlins,1
718104,Kansas City Royals,1
718102,Baltimore Orioles,2
718102,Toronto Blue Jays,2
718108,Detroit Tigers,1
718108,Washington Nationals,1
718101,Arizona Diamondbacks,2
718100,Texas Rangers,2
718097,Chicago Cubs,2
718097,Philadelphia Phillies,2
718098,Houston Astros,1
718095,Cincinnati Reds,1
718095,New York Yankees,2
718093,Milwaukee Brewers,2
718093,Tampa Bay Rays,3
718109,Los Angeles Dodgers,1
718109,St. Louis Cardinals,1
718094,Atlanta Braves,1
718094,Seattle Mariners,1
718096,Los Angeles Angels,1
718096,Minnesota Twins,1
718092,Boston Red Sox,1
718092,San Diego Padres,2
718099,Cleveland Guardians,1
718099,New York Mets,2
718085,New York Yankees,2
718089,Detroit Tigers,1
718089,Washington Nationals,2
718091,Arizona Diamondbacks,1
718088,Chicago Cubs,1
718088,Philadelphia Phillies,1
718090,Atlanta Braves,1
718090,Seattle Mariners,2
718087,Toronto Blue Jays,1
718099,Cleveland Guardians,1
718099,New York Mets,2
718082,Cleveland Guardians,1
718082,New York Mets,1
718081,Milwaukee Brewers,3
718081,Tampa Bay Rays,1
718084,Chicago White Sox,1
718084,Kansas City Royals,1
718083,St. Louis Cardinals,1
718076,Texas Rangers,3
718078,Miami Marlins,2
718078,San Francisco Giants,2
718080,Minnesota Twins,1
718079,San Diego Padres,1
718072,Cleveland Guardians,1
718075,Pittsburgh Pirates,1
718075,Texas Rangers,1
718071,Cincinnati Reds,1
718071,St. Louis Cardinals,1
718077,Tampa Bay Rays,3
718077,Toronto Blue Jays,2
718073,Arizona Diamondbacks,2
718073,Philadelphia Phillies,2
718074,Atlanta Braves,1
718074,Los Angeles Dodgers,3
718066,Detroit Tigers,1
718066,Kansas City Royals,3
718067,Minnesota Twins,1
718067,San Francisco Giants,1
718068,Houston Astros,5
718068,Milwaukee Brewers,1
718069,Colorado Rockies,1
