game_pk,date,away_team,home_team,first_score
718594,2023-04-13,Boston Red Sox,Tampa Bay Rays,Boston Red Sox
718597,2023-04-13,Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies
718590,2023-04-13,Minnesota Twins,New York Yankees,Minnesota Twins
718593,2023-04-13,Detroit Tigers,Toronto Blue Jays,Detroit Tigers
718591,2023-04-13,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates
718589,2023-04-13,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers
718585,2023-04-14,San Francisco Giants,Detroit Tigers,San Francisco Giants
718586,2023-04-14,Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies
718584,2023-04-14,Arizona Diamondbacks,Miami Marlins,Miami Marlins
718592,2023-04-14,Cleveland Guardians,Washington Nationals,Washington Nationals
718588,2023-04-14,Minnesota Twins,New York Yankees,New York Yankees
718587,2023-04-14,Tampa Bay Rays,Toronto Blue Jays,Toronto Blue Jays
718580,2023-04-14,Los Angeles Angels,Boston Red Sox,Los Angeles Angels
718583,2023-04-14,Baltimore Orioles,Chicago White Sox,Chicago White Sox
718581,2023-04-14,Texas Rangers,Houston Astros,Texas Rangers
718579,2023-04-14,Atlanta Braves,Kansas City Royals,Atlanta Braves
718582,2023-04-14,Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals
718578,2023-04-14,New York Mets,Oakland Athletics,New York Mets
718574,2023-04-14,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers
718575,2023-04-14,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs
718577,2023-04-14,Colorado Rockies,Seattle Mariners,Colorado Rockies
718572,2023-04-15,Minnesota Twins,New York Yankees,New York Yankees
718571,2023-04-15,San Francisco Giants,Detroit Tigers,San Francisco Giants
718570,2023-04-15,Baltimore Orioles,Chicago White Sox,Baltimore Orioles
718568,2023-04-15,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates
718569,2023-04-15,Tampa Bay Rays,Toronto Blue Jays,Toronto Blue Jays
718573,2023-04-15,Cleveland Guardians,Washington Nationals,Washington Nationals
718560,2023-04-15,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers
718565,2023-04-15,New York Mets,Oakland Athletics,Oakland Athletics
718576,2023-04-15,Los Angeles Angels,Boston Red Sox,Los Angeles Angels
