game_pk,hitter_name,hitter_team,hrs
718625,Isaac Paredes,Tampa Bay Rays,1
718625,Josh Lowe,Tampa Bay Rays,1
718625,Yandy Diaz,Tampa Bay Rays,1
718619,Jon Berti,Miami Marlins,1
718619,Kyle Schwarber,Philadelphia Phillies,1
718619,Luis Arraez,Miami Marlins,1
718622,Alejandro Kirk,Toronto Blue Jays,1
718622,Bo Bichette,Toronto Blue Jays,1
718622,George Springer,Toronto Blue Jays,1
718622,Kevin Kiermaier,Toronto Blue Jays,1
718622,Matt Chapman,Toronto Blue Jays,1
718622,Nick Maton,Detroit Tigers,1
718621,Xander Bogaerts,San Diego Padres,1
718620,Jose Barrero,Cincinnati Reds,1
718620,Matt Olson,Atlanta Braves,1
718620,Ozzie Albies,Atlanta Braves,1
718617,Eugenio Suarez,Seattle Mariners,1
718617,Jarred Kelenic,Seattle Mariners,1
718617,Nelson Velazquez,Chicago Cubs,1
718617,Trey Mancini,Chicago Cubs,1
718616,Byron Buxton,Minnesota Twins,1
718616,Luis Robert Jr.,Chicago White Sox,1
718616,Michael A. Taylor,Minnesota Twins,1
718615,Jonah Heim,Texas Rangers,1
718613,C.J. Cron,Colorado Rockies,1
718613,Elias Diaz,Colorado Rockies,1
718613,Juan Yepez,St. Louis Cardinals,1
718613,Nolan Gorman,St. Louis Cardinals,1
718613,Ryan McMahon,Colorado Rockies,1
718613,Tommy Edman,St. Louis Cardinals,1
718614,Logan O'Hoppe,Los Angeles Angels,1
718611,Mike Brosseau,Milwaukee Brewers,1
718611,Rowdy Tellez,Milwaukee Brewers,1
718611,Willy Adames,Milwaukee Brewers,1
718624,Brandon Crawford,San Francisco Giants,1
718624,David Villar,San Francisco Giants,1
718608,Alex Bregman,Houston Astros,1
718608,Corey Julks,Houston Astros,1
718610,Francisco Lindor,New York Mets,1
718610,Juan Soto,San Diego Padres,1
718610,Pete Alonso,New York Mets,1
718605,Lenyn Sosa,Chicago White Sox,1
718604,Amed Rosario,Cleveland Guardians,1
718604,Franchy Cordero,New York Yankees,1
718606,Cody Bellinger,Chicago Cubs,1
718606,Jarred Kelenic,Seattle Mariners,1
718606,Teoscar Hernandez,Seattle Mariners,1
718607,Jurickson Profar,Colorado Rockies,1
718607,Nolan Arenado,St. Louis Cardinals,1
718607,Nolan Gorman,St. Louis Cardinals,1
718607,Tyler O'Neill,St. Louis Cardinals,1
718598,Corbin Carroll,Arizona Diamondbacks,1
718598,Lourdes Gurriel Jr.,Arizona Diamondbacks,1
718609,Jorge Soler,Miami Marlins,1
718599,Brent Rooker,Oakland Athletics,1
718599,Carlos Perez,Oakland Athletics,1
718600,Rafael Devers,Boston Red Sox,1
718600,Randy Arozarena,Tampa Bay Rays,1
718603,Kerry Carpenter,Detroit Tigers,1
718603,Nick Maton,Detroit Tigers,1
718601,Eddie Rosario,Atlanta Braves,1
718595,Nathaniel Lowe,Texas Rangers,1
718595,Vinnie Pasquantino,Kansas City Royals,1
718612,Max Muncy,Los Angeles Dodgers,2
718612,Thairo Estrada,San Francisco Giants,1
718612,Trayce Thompson,Los Angeles Dodgers,1
718596,Adley Rutschman,Baltimore Orioles,1
718596,Brent Rooker,Oakland Athletics,2
718596,Ryan Mountcastle,Baltimore Orioles,1
718594,Brandon Lowe,Tampa Bay Rays,1
718594,Rob Refsnyder,Boston Red Sox,1
718594,Yandy Diaz,Tampa Bay Rays,1
718597,Kyle Schwarber,Philadelphia Phillies,1
718590,Anthony Rizzo,New York Yankees,2
718590,Carlos Correa,Minnesota Twins,1
718590,Edouard Julien,Minnesota Twins,1
718590,Michael A. Taylor,Minnesota Twins,2
718591,Connor Joe,Pittsburgh Pirates,1
718591,Rodolfo Castro,Pittsburgh Pirates,1
718589,Manny Machado,San Diego Padres,1
718589,Mike Brosseau,Milwaukee Brewers,1
718589,Rowdy Tellez,Milwaukee Brewers,1
718589,Trent Grisham,San Diego Padres,1
718585,J.D. Davis,San Francisco Giants,1
718585,Nick Maton,Detroit Tigers,1
718585,Thairo Estrada,San Francisco Giants,1
718586,Edmundo Sosa,Philadelphia Phillies,1
718592,Josh Bell,Cleveland Guardians,1
718592,Luis Garcia,Washington Nationals,1
718588,Aaron Judge,New York Yankees,1
718588,Anthony Volpe,New York Yankees,1
718588,Carlos Correa,Minnesota Twins,1
718588,Giancarlo Stanton,New York Yankees,1
718588,Kyle Garlick,Minnesota Twins,1
718587,Christian Bethancourt,Tampa Bay Rays,1
718587,George Springer,Toronto Blue Jays,1
718587,Josh Lowe,Tampa Bay Rays,1
718580,Rafael Devers,Boston Red Sox,1
718583,Jake Burger,Chicago White Sox,1
718581,Adolis Garcia,Texas Rangers,1
718581,Martin Maldonado,Houston Astros,1
718581,Yordan Alvarez,Houston Astros,1
718579,Austin Riley,Atlanta Braves,1
718579,Matt Olson,Atlanta Braves,1
718579,Ronald Acuna Jr.,Atlanta Braves,1
718579,Sam Hilliard,Atlanta Braves,1
