game_pk,team,ks
718603,Detroit Tigers,11
718603,Toronto Blue Jays,6
718601,Atlanta Braves,15
718601,Cincinnati Reds,14
718595,Kansas City Royals,11
718595,Texas Rangers,10
718612,Los Angeles Dodgers,9
718612,San Francisco Giants,9
718596,Baltimore Orioles,7
718596,Oakland Athletics,10
718594,Boston Red Sox,12
718594,Tampa Bay Rays,9
718597,Cincinnati Reds,6
718597,Philadelphia Phillies,13
718590,Minnesota Twins,9
718590,New York Yankees,12
718593,Detroit Tigers,10
718593,Toronto Blue Jays,10
718591,Pittsburgh Pirates,9
718591,St. Louis Cardinals,10
718589,Milwaukee Brewers,5
718589,San Diego Padres,13
718585,Detroit Tigers,15
718585,San Francisco Giants,13
718586,Cincinnati Reds,8
718586,Philadelphia Phillies,6
718584,Arizona Diamondbacks,8
718584,Miami Marlins,2
718592,Cleveland Guardians,6
718592,Washington Nationals,7
718588,Minnesota Twins,9
718588,New York Yankees,11
718587,Tampa Bay Rays,10
718587,Toronto Blue Jays,6
718580,Boston Red Sox,9
718580,Los Angeles Angels,11
718583,Baltimore Orioles,9
718583,Chicago White Sox,9
718581,Houston Astros,8
718581,Texas Rangers,11
718579,Atlanta Braves,13
718579,Kansas City Royals,9
718582,Pittsburgh Pirates,8
718582,St. Louis Cardinals,12
718578,New York Mets,7
718578,Oakland Athletics,11
718574,Milwaukee Brewers,4
718574,San Diego Padres,7
718575,Chicago Cubs,11
718575,Los Angeles Dodgers,10
718577,Colorado Rockies,8
718577,Seattle Mariners,9
718572,Minnesota Twins,13
718572,New York Yankees,9
718571,Detroit Tigers,7
718571,San Francisco Giants,12
718570,Baltimore Orioles,6
718570,Chicago White Sox,4
718568,Pittsburgh Pirates,11
718568,St. Louis Cardinals,11
718569,Tampa Bay Rays,12
718569,Toronto Blue Jays,3
718573,Cleveland Guardians,4
718573,Washington Nationals,4
718560,Milwaukee Brewers,10
718560,San Diego Padres,5
718565,New York Mets,6
